#BL_HF	BL_HCL	BA_FHCl	ground
1.5	5.5	30.0	-559.523854420
1.5	5.5	50.0	-559.533548449
1.5	5.5	60.0	-559.536265470
1.5	5.5	80.0	-559.538682750
1.5	5.5	90.0	-559.539110246
1.5	5.5	110.0	-559.539505749
1.5	6.0	10.0	-559.530678141
1.5	6.0	20.0	-559.532481027
1.5	6.0	40.0	-559.536677138
1.5	6.0	50.0	-559.538120253
1.5	6.0	60.0	-559.538998689
1.5	6.0	80.0	-559.539625677
1.5	6.0	90.0	-559.539675334
1.5	6.0	100.0	-559.539684222
1.5	6.0	110.0	-559.539693872
1.5	6.5	10.0	-559.537104625
1.5	6.5	20.0	-559.537739767
1.5	6.5	30.0	-559.538500898
1.5	6.5	40.0	-559.539153546
1.5	6.5	60.0	-559.539787869
1.5	6.5	70.0	-559.539826831
1.5	6.5	90.0	-559.539696787
1.5	6.5	100.0	-559.539631552
1.5	6.5	110.0	-559.539592228
1.5	7.0	10.0	-559.539184582
1.5	7.0	20.0	-559.539397436
1.5	7.0	40.0	-559.539813595
1.5	7.0	50.0	-559.539885368
1.5	7.0	60.0	-559.539858028
1.5	7.0	70.0	-559.539765447
1.5	7.0	90.0	-559.539545222
1.5	7.0	100.0	-559.539469604
1.5	7.0	110.0	-559.539424314
2.0	1.0	10.0	-544.856775607
2.0	1.0	30.0	-550.766374347
2.0	1.0	40.0	-553.234732907
2.0	1.0	50.0	-554.861971937
2.0	2.5	100.0	-559.421967255
2.0	2.5	110.0	-559.448341189
2.0	3.0	10.0	-548.680229731
2.0	3.0	20.0	-553.956978333
2.0	3.0	30.0	-557.163138305
2.0	3.0	40.0	-558.527617908
2.0	3.0	50.0	-559.044918610
2.0	3.0	60.0	-559.226805640
2.0	3.0	70.0	-559.333628832
2.0	3.0	80.0	-559.415413417
2.0	3.0	90.0	-559.461133974
2.0	3.0	100.0	-559.486063382
2.0	3.0	110.0	-559.499807811
2.0	3.5	10.0	-556.866053725
2.0	3.5	20.0	-557.939929119
2.0	3.5	30.0	-558.726603803
2.0	3.5	40.0	-559.118233358
2.0	3.5	50.0	-559.270411730
2.0	3.5	60.0	-559.365974900
2.0	3.5	70.0	-559.443591167
2.0	3.5	80.0	-559.485615322
2.0	3.5	90.0	-559.507743241
2.0	3.5	100.0	-559.519574357
2.0	3.5	110.0	-559.526103194
2.0	4.0	10.0	-558.776344629
2.0	4.0	20.0	-559.013097237
2.0	4.0	30.0	-559.205495089
2.0	4.0	40.0	-559.304853823
2.0	4.0	50.0	-559.398071373
2.0	4.0	60.0	-559.465186190
2.0	4.0	70.0	-559.501846758
2.0	4.0	80.0	-559.520865057
2.0	4.0	90.0	-559.530650383
2.0	4.0	100.0	-559.535774545
2.0	4.5	10.0	-559.234391129
2.0	4.5	20.0	-559.289810124
2.0	4.5	30.0	-559.356163399
2.0	4.5	40.0	-559.430788394
2.0	4.5	60.0	-559.512948246
2.0	4.5	70.0	-559.528899212
2.0	4.5	90.0	-559.540885239
2.0	4.5	100.0	-559.542900325
2.0	4.5	110.0	-559.544057330
2.0	5.0	10.0	-559.388341953
2.0	5.0	20.0	-559.423425518
2.0	5.0	30.0	-559.465009281
2.0	5.0	40.0	-559.499085769
2.0	5.0	50.0	-559.521406803
2.0	5.0	60.0	-559.534073210
2.0	5.0	70.0	-559.540557256
2.0	5.0	80.0	-559.543631967
2.0	5.0	90.0	-559.545045212
2.0	5.0	100.0	-559.545734210
2.0	5.0	110.0	-559.546134710
2.0	5.5	10.0	-559.482006230
2.0	5.5	20.0	-559.497489031
2.0	5.5	30.0	-559.514873128
2.0	5.5	70.0	-559.545135827
2.0	5.5	80.0	-559.546135943
2.0	5.5	90.0	-559.546519432
2.0	5.5	100.0	-559.546666604
2.0	5.5	110.0	-559.546743184
2.0	6.0	10.0	-559.522612248
2.0	6.0	20.0	-559.528713711
2.0	6.0	30.0	-559.535507654
2.0	6.0	40.0	-559.540891705
2.0	6.0	50.0	-559.544259220
2.0	6.0	60.0	-559.545977894
2.0	6.0	70.0	-559.546680578
2.0	6.0	80.0	-559.546872833
2.0	6.0	90.0	-559.546861980
2.0	6.0	100.0	-559.546804331
2.0	6.0	110.0	-559.546761055
2.0	6.5	10.0	-559.538597368
2.0	6.5	20.0	-559.540889392
2.0	6.5	30.0	-559.543406834
2.0	6.5	40.0	-559.545338546
2.0	6.5	50.0	-559.546460794
2.0	6.5	60.0	-559.546931858
2.0	6.5	70.0	-559.547010597
2.0	6.5	80.0	-559.546912055
2.0	6.5	90.0	-559.546773261
2.0	6.5	100.0	-559.546659743
2.0	6.5	110.0	-559.546588526
2.0	7.0	10.0	-559.544391319
2.0	7.0	20.0	-559.545218966
2.0	7.0	30.0	-559.546100064
2.0	7.0	40.0	-559.546724946
2.0	7.0	50.0	-559.547010879
2.0	7.0	60.0	-559.547027887
2.0	7.0	70.0	-559.546895460
2.0	7.0	80.0	-559.546719009
2.0	7.0	90.0	-559.546563982
2.0	7.0	100.0	-559.546455180
2.0	7.0	110.0	-559.546391173
2.5	1.0	10.0	-554.611184454
2.5	1.0	20.0	-555.171550497
2.5	1.0	30.0	-555.802816741
2.5	1.0	40.0	-556.341203135
2.5	1.0	50.0	-556.729720143
2.5	1.0	60.0	-556.987906840
2.5	1.0	70.0	-557.147105339
2.5	1.0	80.0	-557.239925177
2.5	1.0	90.0	-557.292471859
2.5	1.0	100.0	-557.320781447
2.5	1.0	110.0	-557.339354344
2.5	1.5	10.0	-547.350830431
2.5	1.5	20.0	-551.625905442
2.5	1.5	30.0	-555.165679022
2.5	1.5	40.0	-557.163138682
2.5	1.5	50.0	-558.136953679
2.5	1.5	60.0	-558.588420125
2.5	1.5	70.0	-558.795271784
2.5	1.5	80.0	-558.893931005
2.5	1.5	90.0	-558.946063264
2.5	1.5	100.0	-558.977482935
2.5	1.5	110.0	-559.001734614
2.5	2.0	10.0	-517.097965966
2.5	2.0	20.0	-542.485171588
2.5	2.0	30.0	-553.133974636
2.5	2.0	40.0	-557.191240588
2.5	2.0	50.0	-558.550533537
2.5	2.0	60.0	-559.027556482
2.5	2.0	70.0	-559.206625942
2.5	2.0	80.0	-559.288653219
2.5	2.0	90.0	-559.336631329
2.5	2.0	100.0	-559.369883821
2.5	2.0	110.0	-559.398637413
2.5	2.5	10.0	-447.425827334
2.5	2.5	20.0	-539.750810509
2.5	2.5	30.0	-553.771998375
2.5	2.5	40.0	-557.778375299
2.5	2.5	50.0	-558.879080858
2.5	2.5	60.0	-559.206326429
2.5	2.5	70.0	-559.319355341
2.5	2.5	80.0	-559.384256623
2.5	2.5	90.0	-559.425234655
2.5	2.5	100.0	-559.457654708
2.5	2.5	110.0	-559.472728125
2.5	3.0	10.0	-525.301902532
2.5	3.0	20.0	-548.349997622
2.5	3.0	30.0	-556.406691076
2.5	3.0	40.0	-558.574913614
2.5	3.0	50.0	-559.161418863
2.5	3.0	60.0	-559.310347695
2.5	3.0	70.0	-559.358550532
2.5	3.0	80.0	-559.418418657
2.5	3.0	90.0	-559.448868691
2.5	3.0	100.0	-559.465311671
2.5	3.0	110.0	-559.474070715
2.5	3.5	10.0	-549.827456716
2.5	3.5	20.0	-555.719048497
2.5	3.5	30.0	-558.282353018
2.5	3.5	40.0	-559.099364551
2.5	3.5	50.0	-559.319662268
2.5	3.5	60.0	-559.356770521
2.5	3.5	70.0	-559.409825688
2.5	3.5	80.0	-559.446194834
2.5	3.5	90.0	-559.463581831
2.5	3.5	100.0	-559.471900888
2.5	3.5	110.0	-559.475882567
2.5	4.0	10.0	-557.168378502
2.5	4.0	20.0	-558.389061146
2.5	4.0	30.0	-559.074970582
2.5	4.0	40.0	-559.319456012
2.5	4.0	50.0	-559.370631928
2.5	4.0	60.0	-559.409831953
2.5	4.0	70.0	-559.450013436
2.5	4.0	80.0	-559.468327261
2.5	4.0	90.0	-559.476615148
2.5	4.0	100.0	-559.480446667
2.5	4.0	110.0	-559.482393762
2.5	4.5	10.0	-558.895033376
2.5	4.5	20.0	-559.164153846
2.5	4.5	30.0	-559.328715720
2.5	4.5	40.0	-559.377731556
2.5	4.5	50.0	-559.412007230
2.5	4.5	60.0	-559.453226675
2.5	4.5	70.0	-559.472084660
2.5	4.5	80.0	-559.480246286
2.5	4.5	90.0	-559.483702610
2.5	4.5	100.0	-559.485241062
2.5	4.5	110.0	-559.486051114
2.5	5.0	10.0	-559.306373356
2.5	5.0	20.0	-559.358564287
2.5	5.0	30.0	-559.384579679
2.5	5.0	40.0	-559.417865858
2.5	5.0	50.0	-559.455665489
2.5	5.0	60.0	-559.474311672
2.5	5.0	70.0	-559.482429325
2.5	5.0	80.0	-559.485662892
2.5	5.0	90.0	-559.486895684
2.5	5.0	100.0	-559.487389955
2.5	5.0	110.0	-559.487640843
2.5	5.5	10.0	-559.392030293
2.5	5.5	20.0	-559.402121500
2.5	5.5	30.0	-559.430525535
2.5	5.5	40.0	-559.459180761
2.5	5.5	50.0	-559.475783898
2.5	5.5	60.0	-559.483594292
2.5	5.5	70.0	-559.486721711
2.5	5.5	80.0	-559.487794888
2.5	5.5	90.0	-559.488092946
2.5	5.5	100.0	-559.488148018
2.5	5.5	110.0	-559.488158701
2.5	6.0	10.0	-559.434821177
2.5	6.0	20.0	-559.448699307
2.5	6.0	30.0	-559.465291102
2.5	6.0	40.0	-559.477541033
2.5	6.0	50.0	-559.484287098
2.5	6.0	60.0	-559.487233216
2.5	6.0	70.0	-559.488236915
2.5	6.0	80.0	-559.488436142
2.5	6.0	90.0	-559.488372562
2.5	6.0	100.0	-559.488269984
2.5	6.0	110.0	-559.488200764
2.5	6.5	10.0	-559.466649791
2.5	6.5	20.0	-559.473260807
2.5	6.5	30.0	-559.480160550
2.5	6.5	40.0	-559.484986437
2.5	6.5	50.0	-559.487479775
2.5	6.5	60.0	-559.488417270
2.5	6.5	70.0	-559.318448379
2.5	6.5	80.0	-559.488461260
2.5	6.5	90.0	-559.488287689
2.5	6.5	100.0	-559.488153052
2.5	6.5	110.0	-559.488073623
2.5	7.0	10.0	-559.480576538
2.5	7.0	20.0	-559.483236668
2.5	7.0	30.0	-559.485895474
2.5	7.0	40.0	-559.487655568
2.5	7.0	50.0	-559.488453558
2.5	7.0	60.0	-559.488617398
2.5	7.0	70.0	-559.318123215
2.5	7.0	80.0	-559.488276621
2.5	7.0	90.0	-559.488098707
2.5	7.0	100.0	-559.487980184
2.5	7.0	110.0	-559.487914640
3.0	1.0	10.0	-556.732308778
3.0	1.0	20.0	-556.856244221
3.0	1.0	30.0	-556.991687873
3.0	1.0	40.0	-557.114389900
3.0	1.0	50.0	-557.217782936
3.0	1.0	60.0	-557.298476771
3.0	1.0	70.0	-557.353991824
3.0	1.0	80.0	-557.388483579
3.0	1.0	90.0	-557.407257473
3.0	1.0	100.0	-557.422239276
3.0	1.0	110.0	-557.436303360
3.0	1.5	10.0	-556.384004368
3.0	1.5	20.0	-557.224302882
3.0	1.5	30.0	-557.986316439
3.0	1.5	40.0	-558.481882160
3.0	1.5	50.0	-558.758889719
3.0	1.5	60.0	-558.903135363
3.0	1.5	70.0	-558.977033314
3.0	1.5	80.0	-559.015624151
3.0	1.5	90.0	-559.038838947
3.0	1.5	100.0	-559.059083669
3.0	1.5	110.0	-559.075172325
3.0	2.0	10.0	-548.732696300
3.0	2.0	20.0	-554.070957871
3.0	2.0	30.0	-557.264854963
3.0	2.0	40.0	-558.588772845
3.0	2.0	50.0	-559.084269230
3.0	2.0	60.0	-559.270255707
3.0	2.0	70.0	-559.340810350
3.0	2.0	80.0	-559.379324856
3.0	2.0	90.0	-559.408485516
3.0	2.0	100.0	-559.430106008
3.0	2.0	110.0	-559.443667487
3.0	2.5	10.0	-525.165698196
3.0	2.5	20.0	-548.409877715
3.0	2.5	30.0	-556.487808066
3.0	2.5	40.0	-558.624392393
3.0	2.5	50.0	-559.190225107
3.0	2.5	60.0	-559.344530958
3.0	2.5	70.0	-559.404021915
3.0	2.5	80.0	-559.444125933
3.0	2.5	90.0	-559.473399874
3.0	2.5	100.0	-559.490451574
3.0	2.5	110.0	-559.499784428
3.0	3.0	10.0	-493.180228403
3.0	3.0	20.0	-547.310257966
3.0	3.0	30.0	-556.892438544
3.0	3.0	40.0	-558.856829524
3.0	3.0	50.0	-559.285599422
3.0	3.0	60.0	-559.364597431
3.0	3.0	70.0	-559.400021168
3.0	3.0	80.0	-559.438438341
3.0	3.0	90.0	-559.460902514
3.0	3.0	100.0	-559.472340704
3.0	3.0	110.0	-559.477986913
3.0	3.5	10.0	-530.986314438
3.0	3.5	20.0	-552.610077897
3.0	3.5	30.0	-558.027799828
3.0	3.5	40.0	-559.147784799
3.0	3.5	50.0	-559.366007767
3.0	3.5	60.0	-559.382645426
3.0	3.5	70.0	-559.387796638
3.0	3.5	80.0	-559.420952013
3.0	3.5	90.0	-559.436812102
3.0	3.5	100.0	-559.443828067
3.0	3.5	110.0	-559.446953418
3.0	4.0	10.0	-551.136283859
3.0	4.0	20.0	-556.874787835
3.0	4.0	30.0	-558.882318495
3.0	4.0	40.0	-559.331672820
3.0	4.0	50.0	-559.398735061
3.0	4.0	60.0	-559.382064560
3.0	4.0	70.0	-559.406898055
3.0	4.0	80.0	-559.423459696
3.0	4.0	90.0	-559.430400113
3.0	4.0	100.0	-559.433230380
3.0	4.0	110.0	-559.434310486
3.0	4.5	10.0	-557.427616328
3.0	4.5	20.0	-558.721788480
3.0	4.5	30.0	-559.271910277
3.0	4.5	40.0	-559.400171849
3.0	4.5	50.0	-559.397023456
3.0	4.5	60.0	-559.371963752
3.0	4.5	70.0	-559.423860425
3.0	4.5	80.0	-559.431451574
3.0	4.5	90.0	-559.434217914
3.0	4.5	100.0	-559.435201020
3.0	4.5	110.0	-559.435576449
3.0	5.0	10.0	-558.977464701
3.0	5.0	20.0	-559.266347746
3.0	5.0	30.0	-559.394389688
3.0	5.0	40.0	-559.405713307
3.0	5.0	50.0	-559.382243789
3.0	5.0	60.0	-559.361822345
3.0	5.0	70.0	-559.432788598
3.0	5.0	80.0	-559.435931661
3.0	5.0	90.0	-559.436923062
3.0	5.0	100.0	-559.437215164
3.0	5.0	110.0	-559.437323805
3.0	5.5	10.0	-559.348438437
3.0	5.5	20.0	-559.399825865
3.0	5.5	30.0	-559.409613987
3.0	5.5	40.0	-559.390473577
3.0	5.5	50.0	-559.421894868
3.0	5.5	60.0	-559.433010596
3.0	5.5	70.0	-559.436825094
3.0	5.5	80.0	-559.437929495
3.0	5.5	90.0	-559.438155215
3.0	5.5	100.0	-559.438150135
3.0	5.5	110.0	-559.438126687
3.0	6.0	10.0	-559.413810230
3.0	6.0	20.0	-559.411527095
3.0	6.0	30.0	-559.398577573
3.0	6.0	40.0	-559.420374687
3.0	6.0	50.0	-559.432440636
3.0	6.0	60.0	-559.437035700
3.0	6.0	70.0	-559.438400945
3.0	6.0	80.0	-559.438640450
3.0	6.0	90.0	-559.438566336
3.0	6.0	100.0	-559.438459174
3.0	6.0	110.0	-559.438393687
3.0	6.5	10.0	-559.412323280
3.0	6.5	20.0	-559.409412349
3.0	6.5	30.0	-559.421430509
3.0	6.5	40.0	-559.431899193
3.0	6.5	50.0	-559.436838747
3.0	6.5	60.0	-559.350276001
3.0	6.5	70.0	-559.350771318
3.0	6.5	80.0	-559.438768239
3.0	6.5	90.0	-559.438605856
3.0	6.5	100.0	-559.438484581
3.0	6.5	110.0	-559.438418307
3.0	7.0	10.0	-559.420307327
3.0	7.0	20.0	-559.425714700
3.0	7.0	30.0	-559.432324143
3.0	7.0	40.0	-559.436596104
3.0	7.0	50.0	-559.438436755
3.0	7.0	60.0	-559.350292129
3.0	7.0	70.0	-559.350681632
3.0	7.0	80.0	-559.438673712
3.0	7.0	90.0	-559.438511851
3.0	7.0	100.0	-559.438409089
3.0	7.0	110.0	-559.438355865
3.5	1.0	10.0	-557.222588771
3.5	1.0	20.0	-557.261216641
3.5	1.0	30.0	-557.298752016
3.5	1.0	40.0	-557.336367031
3.5	1.0	50.0	-557.375789482
3.5	1.0	60.0	-557.400592227
3.5	1.0	70.0	-557.426270694
3.5	1.0	80.0	-557.444770833
3.5	1.0	90.0	-557.460388119
3.5	1.0	100.0	-557.472496191
3.5	1.0	110.0	-557.481468794
3.5	1.5	10.0	-558.380319183
3.5	1.5	20.0	-558.562725886
3.5	1.5	30.0	-558.733816478
3.5	1.5	40.0	-558.861333142
3.5	1.5	50.0	-558.952147059
3.5	1.5	60.0	-559.010208222
3.5	1.5	70.0	-559.044217055
3.5	1.5	80.0	-559.067778694
3.5	1.5	90.0	-559.086022207
3.5	1.5	100.0	-559.098623569
3.5	1.5	110.0	-559.106770536
3.5	2.0	10.0	-556.937949039
3.5	2.0	20.0	-557.990275949
3.5	2.0	30.0	-558.737073195
3.5	2.0	40.0	-559.115761396
3.5	2.0	50.0	-559.290417538
3.5	2.0	60.0	-559.362019651
3.5	2.0	70.0	-559.400470915
3.5	2.0	80.0	-559.428539079
3.5	2.0	90.0	-559.447687962
3.5	2.0	100.0	-559.458973964
3.5	2.0	110.0	-559.465336419
3.5	2.5	10.0	-549.944969595
3.5	2.5	20.0	-555.758469835
3.5	2.5	30.0	-558.310617672
3.5	2.5	40.0	-559.113495369
3.5	2.5	50.0	-559.342328258
3.5	2.5	60.0	-559.413209369
3.5	2.5	70.0	-559.454317058
3.5	2.5	80.0	-559.484535665
3.5	2.5	90.0	-559.501392173
3.5	2.5	100.0	-559.510008503
3.5	2.5	110.0	-559.514378206
3.5	3.0	10.0	-529.552420871
3.5	3.0	20.0	-552.632472202
3.5	3.0	30.0	-558.049422980
3.5	3.0	40.0	-559.150471608
3.5	3.0	50.0	-559.362119914
3.5	3.0	60.0	-559.397321108
3.5	3.0	70.0	-559.439614431
3.5	3.0	80.0	-559.466218674
3.5	3.0	90.0	-559.478909892
3.5	3.0	100.0	-559.484742931
3.5	3.0	110.0	-559.487488732
3.5	3.5	10.0	-510.875115311
3.5	3.5	20.0	-552.298372006
3.5	3.5	30.0	-558.288643788
