#BL_HF	BL_HCL	BA_FHCl	ground
4.0	2.0	70.0	-559.438905020
4.0	2.0	80.0	-559.456453162
4.0	2.0	90.0	-559.466259901
4.0	2.0	100.0	-559.471498586
4.0	2.0	110.0	-559.474285803
4.0	2.5	10.0	-557.212209733
4.0	2.5	20.0	-558.400844275
4.0	2.5	30.0	-559.039534314
4.0	2.5	40.0	-559.306487108
4.0	2.5	50.0	-559.414705779
4.0	2.5	60.0	-559.456791874
4.0	2.5	70.0	-559.489018591
4.0	2.5	80.0	-559.506485983
4.0	2.5	90.0	-559.514919438
4.0	2.5	100.0	-559.518898552
4.0	2.5	110.0	-559.520839448
4.0	3.0	10.0	-551.138945958
4.0	3.0	20.0	-556.971125556
4.0	3.0	30.0	-558.873261500
4.0	3.0	40.0	-559.315415389
4.0	3.0	50.0	-559.389190232
4.0	3.0	60.0	-559.434385109
4.0	3.0	70.0	-559.466906352
4.0	3.0	80.0	-559.481997287
4.0	3.0	90.0	-559.488418481
4.0	3.0	100.0	-559.491168154
4.0	3.0	110.0	-559.492446380
4.0	3.5	10.0	-535.205850949
4.0	3.5	20.0	-555.306478042
4.0	3.5	30.0	-558.799459899
4.0	3.5	40.0	-559.350391068
4.0	3.5	50.0	-559.403952426
4.0	3.5	60.0	-559.405787236
4.0	3.5	70.0	-559.434443956
4.0	3.5	80.0	-559.445980373
4.0	3.5	90.0	-559.450419765
4.0	3.5	100.0	-559.452174345
4.0	3.5	110.0	-559.452949015
4.0	4.0	10.0	-525.982452306
4.0	4.0	20.0	-555.280152900
4.0	4.0	30.0	-558.936200166
4.0	4.0	40.0	-559.392873169
4.0	4.0	50.0	-559.413260775
4.0	4.0	60.0	-559.386585640
4.0	4.0	70.0	-559.408278438
4.0	4.0	80.0	-559.416283492
4.0	4.0	90.0	-559.419179131
4.0	4.0	100.0	-559.420216512
4.0	4.0	110.0	-559.420581543
4.0	4.5	10.0	-541.160369195
4.0	4.5	20.0	-556.945184344
4.0	4.5	30.0	-559.170585389
4.0	4.5	40.0	-559.422525601
4.0	4.5	50.0	-559.410508462
4.0	4.5	60.0	-559.384147692
4.0	4.5	70.0	-559.391613454
4.0	4.5	80.0	-559.397591010
4.0	4.5	90.0	-559.399665412
4.0	4.5	100.0	-559.400330068
4.0	4.5	110.0	-559.400522873
4.0	5.0	10.0	-553.373348734
4.0	5.0	20.0	-558.426042466
4.0	5.0	30.0	-559.344820011
4.0	5.0	40.0	-559.429542894
4.0	5.0	50.0	-559.401122494
4.0	5.0	60.0	-559.380603784
4.0	5.0	70.0	-559.388168955
4.0	5.0	80.0	-559.391264487
4.0	5.0	90.0	-559.392229961
4.0	5.0	100.0	-559.392477758
4.0	5.0	110.0	-559.392511120
4.0	5.5	10.0	-557.879711711
4.0	5.5	20.0	-559.135661960
4.0	5.5	30.0	-559.420288490
4.0	5.5	40.0	-559.419738133
4.0	5.5	50.0	-559.390840060
4.0	5.5	60.0	-559.377573485
4.0	5.5	70.0	-559.390593704
4.0	5.5	80.0	-559.391498513
4.0	5.5	90.0	-559.391646308
4.0	5.5	100.0	-559.391611094
4.0	5.5	110.0	-559.391548429
4.0	6.0	10.0	-559.090589459
4.0	6.0	20.0	-559.380499432
4.0	6.0	30.0	-559.431453758
4.0	6.0	40.0	-559.404106026
4.0	6.0	50.0	-559.382969850
4.0	6.0	60.0	-559.375662473
4.0	6.0	70.0	-559.392005892
4.0	6.0	80.0	-559.392234120
4.0	6.0	90.0	-559.392162804
4.0	6.0	100.0	-559.392071228
4.0	6.0	110.0	-559.392012985
4.0	6.5	10.0	-559.387851624
4.0	6.5	20.0	-559.432289182
4.0	6.5	30.0	-559.416647415
4.0	6.5	40.0	-559.390643811
4.0	6.5	50.0	-559.378175814
4.0	6.5	60.0	-559.374733355
4.0	6.5	70.0	-559.392591515
4.0	6.5	80.0	-559.392557781
4.0	6.5	90.0	-559.392446823
4.0	6.5	100.0	-559.392369972
4.0	6.5	110.0	-559.392330691
4.0	7.0	10.0	-559.433406111
4.0	7.0	20.0	-559.422565042
4.0	7.0	30.0	-559.398776502
4.0	7.0	40.0	-559.382110577
4.0	7.0	50.0	-559.391351991
4.0	7.0	60.0	-559.374515119
4.0	7.0	70.0	-559.374848954
4.0	7.0	80.0	-559.392645961
4.0	7.0	90.0	-559.392542060
4.0	7.0	100.0	-559.392482796
4.0	7.0	110.0	-559.392454421
4.5	1.0	10.0	-557.441690999
4.5	1.0	20.0	-557.449681382
4.5	1.0	30.0	-557.459173244
4.5	1.0	40.0	-557.469060518
4.5	1.0	50.0	-557.478980881
4.5	1.0	60.0	-557.487663979
4.5	1.0	70.0	-557.494703203
4.5	1.0	80.0	-557.500002031
4.5	1.0	90.0	-557.503790166
4.5	1.0	100.0	-557.506399356
4.5	1.0	110.0	-557.508158538
4.5	1.5	10.0	-558.989369343
4.5	1.5	20.0	-559.015731852
4.5	1.5	30.0	-559.039746498
4.5	1.5	40.0	-559.061932460
4.5	1.5	50.0	-559.081494320
4.5	1.5	60.0	-559.096713835
4.5	1.5	70.0	-559.108471859
4.5	1.5	80.0	-559.115941752
4.5	1.5	90.0	-559.120445007
4.5	1.5	100.0	-559.123082235
4.5	1.5	110.0	-559.124625560
4.5	2.0	10.0	-559.230199673
4.5	2.0	20.0	-559.292947598
4.5	2.0	30.0	-559.345483969
4.5	2.0	40.0	-559.390674892
4.5	2.0	50.0	-559.418898405
4.5	2.0	60.0	-559.445304027
4.5	2.0	70.0	-559.461220415
4.5	2.0	80.0	-559.469903226
4.5	2.0	90.0	-559.474378644
4.5	2.0	100.0	-559.476646405
4.5	2.0	110.0	-559.477836700
4.5	2.5	10.0	-558.908770124
4.5	2.5	20.0	-559.163771073
4.5	2.5	30.0	-559.315095604
4.5	2.5	40.0	-559.399769973
4.5	2.5	50.0	-559.455068614
4.5	2.5	60.0	-559.489706249
4.5	2.5	70.0	-559.508314582
4.5	2.5	80.0	-559.517028447
4.5	2.5	90.0	-559.520902201
4.5	2.5	100.0	-559.522639905
4.5	2.5	110.0	-559.523491681
4.5	3.0	10.0	-557.436877403
4.5	3.0	20.0	-558.707291079
4.5	3.0	30.0	-559.242237980
4.5	3.0	40.0	-559.367336068
4.5	3.0	50.0	-559.423383081
4.5	3.0	60.0	-559.463181100
4.5	3.0	70.0	-559.482124669
4.5	3.0	80.0	-559.489799929
4.5	3.0	90.0	-559.492801751
4.5	3.0	100.0	-559.494027503
4.5	3.0	110.0	-559.494607223
4.5	3.5	10.0	-552.293891111
4.5	3.5	20.0	-557.833506658
4.5	3.5	30.0	-559.178577452
4.5	3.5	40.0	-559.396469060
4.5	3.5	50.0	-559.394095351
4.5	3.5	60.0	-559.428591922
4.5	3.5	70.0	-559.445611015
4.5	3.5	80.0	-559.451657085
4.5	3.5	90.0	-559.453782612
4.5	3.5	100.0	-559.454585560
4.5	3.5	110.0	-559.454955325
4.5	4.0	10.0	-540.049560066
4.5	4.0	20.0	-556.941753026
4.5	4.0	30.0	-559.165107231
4.5	4.0	40.0	-559.416335510
4.5	4.0	50.0	-559.404611822
4.5	4.0	60.0	-559.402708300
4.5	4.0	70.0	-559.416188081
4.5	4.0	80.0	-559.420498869
4.5	4.0	90.0	-559.421889311
4.5	4.0	100.0	-559.422366466
4.5	4.0	110.0	-559.422569745
4.5	4.5	10.0	-533.544075110
4.5	4.5	20.0	-556.944008759
4.5	4.5	30.0	-559.237578868
4.5	4.5	40.0	-559.428963195
4.5	4.5	50.0	-559.404674580
4.5	4.5	60.0	-559.387785595
4.5	4.5	70.0	-559.397206420
4.5	4.5	80.0	-559.400061109
4.5	4.5	90.0	-559.400945756
4.5	4.5	100.0	-559.401202199
4.5	4.5	110.0	-559.401262591
4.5	5.0	10.0	-544.442491875
4.5	5.0	20.0	-557.945772026
4.5	5.0	30.0	-559.341261805
4.5	5.0	40.0	-559.430878095
4.5	5.0	50.0	-559.399017206
4.5	5.0	60.0	-559.381009242
4.5	5.0	70.0	-559.386878129
4.5	5.0	80.0	-559.389121877
4.5	5.0	90.0	-559.389791917
4.5	5.0	100.0	-559.389961410
4.5	5.0	110.0	-559.389993892
4.5	5.5	10.0	-554.342069614
4.5	5.5	20.0	-558.812553351
4.5	5.5	30.0	-559.412011864
4.5	5.5	40.0	-559.422609398
4.5	5.5	50.0	-559.391850344
4.5	5.5	60.0	-559.379854325
4.5	5.5	70.0	-559.384200102
4.5	5.5	80.0	-559.385364752
4.5	5.5	90.0	-559.385652174
4.5	5.5	100.0	-559.385702649
4.5	5.5	110.0	-559.385701044
4.5	6.0	10.0	-558.081791844
4.5	6.0	20.0	-559.255272959
4.5	6.0	30.0	-559.435331320
4.5	6.0	40.0	-559.409284979
4.5	6.0	50.0	-559.385803749
4.5	6.0	60.0	-559.378807440
4.5	6.0	70.0	-559.384976045
4.5	6.0	80.0	-559.385165085
4.5	6.0	90.0	-559.385152994
4.5	6.0	100.0	-559.385122449
4.5	6.0	110.0	-559.385100373
4.5	6.5	10.0	-559.135868417
4.5	6.5	20.0	-559.409594500
4.5	6.5	30.0	-559.428232728
4.5	6.5	40.0	-559.396560978
4.5	6.5	50.0	-559.381759214
4.5	6.5	60.0	-559.378236236
4.5	6.5	70.0	-559.385504832
4.5	6.5	80.0	-559.385461262
4.5	6.5	90.0	-559.385368995
4.5	6.5	100.0	-559.385309392
4.5	6.5	110.0	-559.385277586
4.5	7.0	10.0	-559.398371404
4.5	7.0	20.0	-559.435799134
4.5	7.0	30.0	-559.410935896
4.5	7.0	40.0	-559.387467899
4.5	7.0	50.0	-559.379482380
4.5	7.0	60.0	-559.378142394
4.5	7.0	70.0	-559.378423311
4.5	7.0	80.0	-559.385589792
4.5	7.0	90.0	-559.385506529
4.5	7.0	100.0	-559.385462599
4.5	7.0	110.0	-559.385441836
5.0	1.0	10.0	-557.483298008
5.0	1.0	20.0	-557.486534633
5.0	1.0	30.0	-557.490654819
5.0	1.0	40.0	-557.495020431
5.0	1.0	50.0	-557.499172718
5.0	1.0	60.0	-557.502770540
5.0	1.0	70.0	-557.505763778
5.0	1.0	80.0	-557.507905071
5.0	1.0	90.0	-557.509410487
5.0	1.0	100.0	-557.510431470
5.0	1.0	110.0	-557.511121777
5.0	1.5	10.0	-559.059132529
5.0	1.5	20.0	-559.070762419
5.0	1.5	30.0	-559.083645395
5.0	1.5	40.0	-559.096336431
5.0	1.5	50.0	-559.106919631
5.0	1.5	60.0	-559.114684858
5.0	1.5	70.0	-559.119843321
5.0	1.5	80.0	-559.123018594
5.0	1.5	90.0	-559.124875017
5.0	1.5	100.0	-559.125940229
5.0	1.5	110.0	-559.126576464
5.0	2.0	10.0	-559.355582691
5.0	2.0	20.0	-559.384285197
5.0	2.0	30.0	-559.409269701
5.0	2.0	40.0	-559.431703181
5.0	2.0	50.0	-559.451314828
5.0	2.0	60.0	-559.464594650
5.0	2.0	70.0	-559.472025880
5.0	2.0	80.0	-559.475858249
5.0	2.0	90.0	-559.477746121
5.0	2.0	100.0	-559.478681669
5.0	2.0	110.0	-559.479189442
5.0	2.5	10.0	-559.314285472
5.0	2.5	20.0	-559.375858854
5.0	2.5	30.0	-559.419028917
5.0	2.5	40.0	-559.456869335
5.0	2.5	50.0	-559.489562210
5.0	2.5	60.0	-559.508671322
5.0	2.5	70.0	-559.517770288
5.0	2.5	80.0	-559.521727664
5.0	2.5	90.0	-559.523391020
5.0	2.5	100.0	-559.524118803
5.0	2.5	110.0	-559.524485161
5.0	3.0	10.0	-558.973874804
5.0	3.0	20.0	-559.248875583
5.0	3.0	30.0	-559.364087344
5.0	3.0	40.0	-559.405108072
5.0	3.0	50.0	-559.456425183
5.0	3.0	60.0	-559.480094323
5.0	3.0	70.0	-559.489758408
5.0	3.0	80.0	-559.493349247
5.0	3.0	90.0	-559.494660763
5.0	3.0	100.0	-559.495177989
5.0	3.0	110.0	-559.495424313
5.0	3.5	10.0	-557.660086835
5.0	3.5	20.0	-558.948570067
5.0	3.5	30.0	-559.353406359
5.0	3.5	40.0	-559.401042431
5.0	3.5	50.0	-559.416514606
5.0	3.5	60.0	-559.442327852
5.0	3.5	70.0	-559.451397509
5.0	3.5	80.0	-559.454321111
5.0	3.5	90.0	-559.455265169
5.0	3.5	100.0	-559.455605054
5.0	3.5	110.0	-559.455760960
5.0	4.0	10.0	-553.367748138
5.0	4.0	20.0	-558.417426368
5.0	4.0	30.0	-559.334567726
5.0	4.0	40.0	-559.419288024
5.0	4.0	50.0	-559.391727654
5.0	4.0	60.0	-559.412855341
5.0	4.0	70.0	-559.420413500
5.0	4.0	80.0	-559.422570208
5.0	4.0	90.0	-559.423194622
5.0	4.0	100.0	-559.423398721
5.0	4.0	110.0	-559.423488750
5.0	4.5	10.0	-544.434220515
5.0	4.5	20.0	-557.942136857
5.0	4.5	30.0	-559.337397266
5.0	4.5	40.0	-559.427197222
5.0	4.5	50.0	-559.395667861
5.0	4.5	60.0	-559.394693217
5.0	4.5	70.0	-559.400294662
5.0	4.5	80.0	-559.401744207
5.0	4.5	90.0	-559.402124678
5.0	4.5	100.0	-559.402233001
5.0	4.5	110.0	-559.402276221
5.0	5.0	10.0	-537.400914641
5.0	5.0	20.0	-558.013444886
5.0	5.0	30.0	-559.371738292
5.0	5.0	40.0	-559.427113098
5.0	5.0	50.0	-559.393876451
5.0	5.0	60.0	-559.385502082
5.0	5.0	70.0	-559.389208935
5.0	5.0	80.0	-559.390108669
5.0	5.0	90.0	-559.390335548
5.0	5.0	100.0	-559.390385538
5.0	5.0	110.0	-559.390393226
5.0	5.5	10.0	-547.328678319
5.0	5.5	20.0	-558.555133644
5.0	5.5	30.0	-559.412769221
5.0	5.5	40.0	-559.420409408
5.0	5.5	50.0	-559.389867080
5.0	5.5	60.0	-559.381619569
5.0	5.5	70.0	-559.383821557
5.0	5.5	80.0	-559.384544543
5.0	5.5	90.0	-559.384744391
5.0	5.5	100.0	-559.384783868
5.0	5.5	110.0	-559.384790961
5.0	6.0	10.0	-555.195705435
5.0	6.0	20.0	-559.064085470
5.0	6.0	30.0	-559.435008266
5.0	6.0	40.0	-559.409813495
5.0	6.0	50.0	-559.385866181
5.0	6.0	60.0	-559.380247018
5.0	6.0	70.0	-559.381414437
5.0	6.0	100.0	-559.382723789
5.0	6.0	110.0	-559.382725434
5.0	6.5	10.0	-558.268470434
5.0	6.5	20.0	-559.335172882
5.0	6.5	30.0	-559.434197556
5.0	6.5	40.0	-559.398907216
5.0	6.5	50.0	-559.382871052
5.0	6.5	60.0	-559.379868198
5.0	6.5	70.0	-559.382511987
5.0	6.5	80.0	-559.382463137
5.0	6.5	90.0	-559.382421674
5.0	6.5	100.0	-559.382407850
5.0	6.5	110.0	-559.382404292
5.0	7.0	10.0	-559.177226066
5.0	7.0	20.0	-559.426859542
5.0	7.0	30.0	-559.420161619
5.0	7.0	40.0	-559.390303662
5.0	7.0	50.0	-559.381010692
5.0	7.0	60.0	-559.379795832
5.0	7.0	70.0	-559.382696138
5.0	7.0	80.0	-559.382595099
5.0	7.0	90.0	-559.382528820
5.0	7.0	100.0	-559.382497016
5.0	7.0	110.0	-559.382481990
5.5	1.0	10.0	-557.501365039
5.5	1.0	20.0	-557.502720197
5.5	1.0	30.0	-557.504245981
5.5	1.0	40.0	-557.505979191
5.5	1.0	50.0	-557.507609756
5.5	1.0	60.0	-557.509005635
5.5	1.0	70.0	-557.510254244
5.5	1.0	80.0	-557.511057355
5.5	1.0	90.0	-557.511610156
5.5	1.0	100.0	-557.511984205
5.5	1.0	110.0	-557.512254089
5.5	1.5	10.0	-559.099195546
5.5	1.5	20.0	-559.104035568
5.5	1.5	30.0	-559.109697892
5.5	1.5	40.0	-559.115054895
5.5	1.5	50.0	-559.119441328
5.5	1.5	60.0	-559.122614207
5.5	1.5	70.0	-559.124681602
5.5	1.5	80.0	-559.125922928
5.5	1.5	90.0	-559.126631291
5.5	1.5	100.0	-559.127040305
5.5	1.5	110.0	-559.127304379
5.5	2.0	10.0	-559.416062021
5.5	2.0	20.0	-559.429888127
5.5	2.0	30.0	-559.444765466
5.5	2.0	40.0	-559.458276351
5.5	2.0	50.0	-559.467830964
5.5	2.0	60.0	-559.473634344
5.5	2.0	70.0	-559.476770828
5.5	2.0	80.0	-559.478329207
5.5	2.0	90.0	-559.479072000
5.5	2.0	100.0	-559.479441873
5.5	2.0	110.0	-559.479653862
5.5	2.5	10.0	-559.417626815
5.5	2.5	20.0	-559.442404992
5.5	2.5	30.0	-559.464013304
5.5	2.5	40.0	-559.491679691
5.5	2.5	50.0	-559.509046761
5.5	2.5	60.0	-559.518001673
5.5	2.5	70.0	-559.522029061
5.5	2.5	80.0	-559.523690784
5.5	2.5	90.0	-559.524356202
5.5	2.5	100.0	-559.524643160
5.5	2.5	110.0	-559.524788809
5.5	3.0	10.0	-559.341653384
5.5	3.0	20.0	-559.390822672
5.5	3.0	30.0	-559.409085021
5.5	3.0	40.0	-559.450095525
5.5	3.0	50.0	-559.476916908
5.5	3.0	60.0	-559.488807867
5.5	3.0	70.0	-559.493292594
5.5	3.0	80.0	-559.494845883
5.5	3.0	90.0	-559.495373115
5.5	3.0	100.0	-559.495570157
5.5	3.0	110.0	-559.495659742
5.5	3.5	10.0	-559.032359659
5.5	3.5	20.0	-559.319013279
5.5	3.5	30.0	-559.402073610
5.5	3.5	40.0	-559.387259701
5.5	3.5	50.0	-559.435893046
5.5	3.5	60.0	-559.449740751
5.5	3.5	70.0	-559.454160380
5.5	3.5	80.0	-559.455462465
5.5	3.5	90.0	-559.455840206
5.5	3.5	100.0	-559.455961857
5.5	3.5	110.0	-559.456012192
5.5	4.0	10.0	-557.875777769
5.5	4.0	20.0	-559.125099729
5.5	4.0	30.0	-559.407777665
5.5	4.0	40.0	-559.407516317
5.5	4.0	50.0	-559.404391081
5.5	4.0	60.0	-559.418607589
5.5	4.0	70.0	-559.422491373
5.5	4.0	80.0	-559.423480711
5.5	4.0	90.0	-559.423727759
5.5	4.0	100.0	-559.423794764
5.5	4.0	110.0	-559.423820102
5.5	4.5	10.0	-554.337087958
5.5	4.5	20.0	-558.806701786
5.5	4.5	30.0	-559.405976463
5.5	4.5	40.0	-559.416975209
5.5	4.5	50.0	-559.386731553
5.5	4.5	60.0	-559.398792911
5.5	4.5	70.0	-559.401841217
5.5	4.5	80.0	-559.402523069
5.5	4.5	90.0	-559.402669708
5.5	4.5	100.0	-559.402701108
5.5	4.5	110.0	-559.402711649
5.5	5.0	10.0	-547.333018198
5.5	5.0	20.0	-558.552748282
5.5	5.0	30.0	-559.410600516
5.5	5.0	40.0	-559.418469029
5.5	5.0	50.0	-559.388108548
5.5	5.0	60.0	-559.388251033
5.5	5.0	70.0	-559.390391655
5.5	5.0	80.0	-559.390815140
5.5	5.0	90.0	-559.390892136
5.5	5.0	100.0	-559.390902984
5.5	5.0	110.0	-559.390905944
5.5	5.5	10.0	-541.954529771
5.5	5.5	20.0	-558.613519193
5.5	5.5	30.0	-559.424055805
5.5	5.5	40.0	-559.414365462
5.5	5.5	50.0	-559.386776910
5.5	5.5	60.0	-559.383433969
5.5	5.5	70.0	-559.384785782
5.5	5.5	80.0	-559.385018355
5.5	5.5	90.0	-559.385049588
5.5	5.5	100.0	-559.385049706
5.5	5.5	110.0	-559.385049674
5.5	6.0	10.0	-549.833667862
5.5	6.0	20.0	-558.927408250
5.5	6.0	30.0	-559.435710837
5.5	6.0	40.0	-559.406892495
5.5	6.0	50.0	-559.384654898
5.5	6.0	60.0	-559.381488377
5.5	6.0	70.0	-559.382261492
5.5	6.0	80.0	-559.382368085
5.5	6.0	90.0	-559.382366045
5.5	6.0	100.0	-559.382410647
5.5	6.0	110.0	-559.382417617
5.5	6.5	10.0	-555.867041423
5.5	6.5	20.0	-559.225846148
5.5	6.5	30.0	-559.436221731
5.5	6.5	40.0	-559.398490483
5.5	6.5	50.0	-559.382755803
5.5	6.5	60.0	-559.380787104
5.5	6.5	70.0	-559.381397070
5.5	6.5	80.0	-559.381460279
5.5	6.5	90.0	-559.381470586
5.5	6.5	100.0	-559.381476164
5.5	6.5	110.0	-559.381481724
5.5	7.0	10.0	-558.439078244
5.5	7.0	20.0	-559.386051639
5.5	7.0	30.0	-559.425821747
5.5	7.0	40.0	-559.391205876
5.5	7.0	50.0	-559.381427427
5.5	7.0	60.0	-559.380564967
5.5	7.0	70.0	-559.381470126
5.5	7.0	80.0	-559.381373212
5.5	7.0	90.0	-559.381327616
5.5	7.0	100.0	-559.381322216
5.5	7.0	110.0	-559.381324423
6.0	1.0	10.0	-557.508424453
6.0	1.0	20.0	-557.509028756
6.0	1.0	30.0	-557.509554604
6.0	1.0	40.0	-557.510238037
6.0	1.0	50.0	-557.510866812
6.0	1.0	60.0	-557.511391708
6.0	1.0	70.0	-557.511789241
6.0	1.0	80.0	-557.512231678
6.0	1.0	90.0	-557.512418160
6.0	1.0	100.0	-557.512550703
6.0	1.0	110.0	-557.512663419
6.0	1.5	10.0	-559.116523108
6.0	1.5	20.0	-559.118502361
6.0	1.5	30.0	-559.120760311
6.0	1.5	40.0	-559.122874299
6.0	1.5	50.0	-559.124589331
6.0	1.5	60.0	-559.125810345
6.0	1.5	70.0	-559.126583641
6.0	1.5	80.0	-559.127029165
6.0	1.5	90.0	-559.127276270
6.0	1.5	100.0	-559.127426474
6.0	1.5	110.0	-559.127534629
6.0	2.0	10.0	-559.452616811
6.0	2.0	20.0	-559.458804847
6.0	2.0	30.0	-559.465541455
6.0	2.0	40.0	-559.471193899
6.0	2.0	50.0	-559.475126964
6.0	2.0	60.0	-559.477469122
6.0	2.0	70.0	-559.478695288
6.0	2.0	80.0	-559.479276497
6.0	2.0	90.0	-559.479542858
6.0	2.0	100.0	-559.479678160
6.0	2.0	110.0	-559.479758359
6.0	2.5	10.0	-559.465500779
6.0	2.5	20.0	-559.480942807
6.0	2.5	30.0	-559.497784179
6.0	2.5	40.0	-559.510636130
6.0	2.5	50.0	-559.518334466
6.0	2.5	60.0	-559.522155552
6.0	2.5	70.0	-559.523800050
6.0	2.5	80.0	-559.524436732
6.0	2.5	90.0	-559.524673786
6.0	2.5	100.0	-559.524770599
6.0	2.5	110.0	-559.524816627
6.0	3.0	10.0	-559.418279849
6.0	3.0	20.0	-559.427364534
6.0	3.0	30.0	-559.449932082
6.0	3.0	40.0	-559.474494679
6.0	3.0	50.0	-559.487492655
6.0	3.0	60.0	-559.492882234
6.0	3.0	70.0	-559.494796853
6.0	3.0	80.0	-559.495403822
6.0	3.0	90.0	-559.495584400
6.0	3.0	100.0	-559.495639765
6.0	3.0	110.0	-559.495659307
6.0	3.5	10.0	-559.364776033
6.0	3.5	20.0	-559.408571752
6.0	3.5	30.0	-559.401268863
6.0	3.5	40.0	-559.427499565
6.0	3.5	50.0	-559.446698964
6.0	3.5	60.0	-559.453386884
6.0	3.5	70.0	-559.455364331
6.0	3.5	80.0	-559.455881391
6.0	3.5	90.0	-559.456001414
6.0	3.5	100.0	-559.456024262
6.0	3.5	110.0	-559.456027745
6.0	4.0	10.0	-559.085281723
6.0	4.0	20.0	-559.370013224
6.0	4.0	30.0	-559.418783787
6.0	4.0	40.0	-559.391523967
6.0	4.0	50.0	-559.414247644
6.0	4.0	60.0	-559.421589602
6.0	4.0	70.0	-559.423417902
6.0	4.0	80.0	-559.423816896
6.0	4.0	90.0	-559.423886355
6.0	4.0	100.0	-559.423888843
6.0	4.0	110.0	-559.423884766
6.0	4.5	10.0	-558.078714446
6.0	4.5	20.0	-559.248930840
6.0	4.5	30.0	-559.428453088
6.0	4.5	40.0	-559.402818890
6.0	4.5	50.0	-559.393893393
6.0	4.5	60.0	-559.401026341
6.0	4.5	70.0	-559.402541107
6.0	4.5	80.0	-559.402819265
6.0	4.5	90.0	-559.402851850
6.0	4.5	100.0	-559.402844028
6.0	4.5	110.0	-559.402837654
6.0	5.0	10.0	-555.191894677
6.0	5.0	20.0	-559.060721458
6.0	5.0	30.0	-559.431812233
6.0	5.0	40.0	-559.406931656
6.0	5.0	50.0	-559.383215358
6.0	5.0	60.0	-559.389801254
6.0	5.0	70.0	-559.390924482
6.0	5.0	80.0	-559.391095800
6.0	5.0	90.0	-559.391103055
6.0	5.0	100.0	-559.391091099
6.0	5.0	110.0	-559.391084871
6.0	5.5	10.0	-549.832058036
6.0	5.5	20.0	-558.926121413
6.0	5.5	30.0	-559.434603622
6.0	5.5	40.0	-559.405921531
6.0	5.5	50.0	-559.383759683
6.0	5.5	60.0	-559.384460046
6.0	5.5	70.0	-559.385207096
6.0	5.5	80.0	-559.385294270
6.0	5.5	90.0	-559.385283781
6.0	5.5	100.0	-559.385270385
6.0	5.5	110.0	-559.385264803
6.0	6.0	10.0	-547.476074205
6.0	6.0	20.0	-558.970728464
6.0	6.0	30.0	-559.437308058
6.0	6.0	40.0	-559.401686931
6.0	6.0	50.0	-559.383081469
6.0	6.0	60.0	-559.382163698
6.0	6.0	70.0	-559.382609737
6.0	6.0	80.0	-559.382635516
6.0	6.0	90.0	-559.382612782
6.0	6.0	100.0	-559.382598942
6.0	6.0	110.0	-559.382593633
6.0	6.5	10.0	-551.904791376
6.0	6.5	20.0	-559.153746910
6.0	6.5	30.0	-559.435915371
6.0	6.5	40.0	-559.396048337
6.0	6.5	50.0	-559.382121219
6.0	6.5	60.0	-559.381249085
6.0	6.5	70.0	-559.381482461
6.0	6.5	80.0	-559.381465869
6.0	6.5	90.0	-559.381437365
6.0	6.5	100.0	-559.381424056
6.0	6.5	110.0	-559.381418750
6.0	7.0	10.0	-556.565955638
6.0	7.0	20.0	-559.326168079
6.0	7.0	30.0	-559.427936277
6.0	7.0	40.0	-559.390580742
6.0	7.0	50.0	-559.381313527
6.0	7.0	60.0	-559.380907219
6.0	7.0	70.0	-559.381006676
6.0	7.0	80.0	-559.380959600
6.0	7.0	90.0	-559.380931731
6.0	7.0	100.0	-559.380963853
6.0	7.0	110.0	-559.380969382
6.5	1.0	10.0	-557.511140280
6.5	1.0	20.0	-557.511408564
6.5	1.0	30.0	-557.511523228
6.5	1.0	40.0	-557.511797035
6.5	1.0	50.0	-557.512041481
6.5	1.0	60.0	-557.512235521
6.5	1.0	70.0	-557.512371434
6.5	1.0	80.0	-557.512626310
6.5	1.0	90.0	-557.512683588
6.5	1.0	100.0	-557.512731101
6.5	1.0	110.0	-557.512779043
6.5	1.5	10.0	-559.123332140
6.5	1.5	20.0	-559.124173986
6.5	1.5	30.0	-559.125070211
6.5	1.5	40.0	-559.125892330
6.5	1.5	50.0	-559.126547035
6.5	1.5	60.0	-559.126996367
6.5	1.5	70.0	-559.127262667
6.5	1.5	80.0	-559.127402955
6.5	1.5	90.0	-559.127477491
6.5	1.5	100.0	-559.127526900
6.5	1.5	110.0	-559.127565638
6.5	2.0	10.0	-559.469059913
6.5	2.0	20.0	-559.471611656
6.5	2.0	30.0	-559.474302363
6.5	2.0	40.0	-559.476536263
6.5	2.0	50.0	-559.478073791
6.5	2.0	60.0	-559.478964188
6.5	2.0	70.0	-559.479402659
6.5	2.0	80.0	-559.479591090
6.5	2.0	90.0	-559.479669866
6.5	2.0	100.0	-559.479708130
6.5	2.0	110.0	-559.479729856
6.5	2.5	10.0	-559.499126501
6.5	2.5	20.0	-559.506491750
6.5	2.5	30.0	-559.513782643
6.5	2.5	40.0	-559.519172145
6.5	2.5	50.0	-559.522331977
6.5	2.5	60.0	-559.523851168
6.5	2.5	70.0	-559.524462254
6.5	2.5	80.0	-559.524670169
6.5	2.5	90.0	-559.524732398
6.5	2.5	100.0	-559.524748973
6.5	2.5	110.0	-559.524752812
6.5	3.0	10.0	-559.445463214
6.5	3.0	20.0	-559.458693255
6.5	3.0	30.0	-559.475281888
6.5	3.0	40.0	-559.486684560
6.5	3.0	50.0	-559.492368415
6.5	3.0	60.0	-559.494625733
